File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Triggers\CustomTriggerFylgja.cpp,50,28,12,3,7,0,15,60,1,12
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Triggers\CustomTriggerGate.cpp,37,28,12,4,6,0,3,36,1,12
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Triggers\CustomTriggerGateWithCondition.cpp,47,38,18,4,6,0,3,36,1,12
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Triggers\CustomTriggerBase.h,53,33,15,0,15,1,5,43,1,12
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Triggers\CustomTriggerDialogue.h,73,37,16,0,19,0,17,87,1,12
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Triggers\CustomTriggerFoe.h,39,22,9,0,11,0,6,30,1,12
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Triggers\CustomTriggerFylgja.h,36,18,7,0,10,0,8,38,1,12
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Triggers\CustomTriggerGate.h,38,21,9,0,11,0,6,30,1,12
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Triggers\CustomTriggerGateWithCondition.h,30,16,6,0,8,0,6,30,1,12
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\UI\HUD_BossInfo.cpp,72,54,24,5,13,0,5,29,1,12
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\UI\HUD_BossInfo.h,46,27,12,0,13,0,6,27,1,12
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Utils\ActorWithMeshBase.cpp,30,15,8,0,9,0,6,52,1,12
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Utils\GameConstants.cpp,89,64,47,0,19,0,6,20,1,12
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Utils\GameEnums.cpp,12,7,2,0,4,0,1,12,1,12
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Utils\PositionReporter.cpp,29,17,9,0,7,0,5,45,0,0
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Utils\RotateOverTime.cpp,31,16,8,0,9,0,6,57,1,12
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Utils\ActorWithMeshBase.h,31,17,6,0,9,0,5,40,1,12
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Utils\GameConstants.h,96,67,49,0,19,0,10,26,1,12
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Utils\GameEnums.h,47,31,18,0,13,1,3,7,0,0
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Utils\PositionReporter.h,28,15,5,0,10,0,3,15,0,0
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Utils\RotateOverTime.h,31,16,6,0,11,0,4,27,1,12
G:\Documents\Git\Lyssa-s-Odyssey\LyssasOdyssey\Source\LissasOdyssey\Utils\Libraries\LibUtilFunctions.cpp,5,1,0,0,3,0,1,12,1,12
